,DATE,Number of Fire
0,2023-01-31,43
1,2023-02-01,546
2,2023-02-02,875
3,2023-02-03,447
4,2023-02-04,548
5,2023-02-05,1301
6,2023-02-06,880
7,2023-02-07,1901
8,2023-02-08,986
9,2023-02-09,1376
10,2023-02-10,1249
11,2023-02-11,1521
12,2023-02-12,2656
13,2023-02-13,877
14,2023-02-14,2067
15,2023-02-15,777
16,2023-02-16,1401
17,2023-02-17,715
18,2023-02-18,775
19,2023-02-19,1066
20,2023-02-20,773
21,2023-02-21,1877
22,2023-02-22,843
23,2023-02-23,1974
24,2023-02-24,1426
25,2023-02-25,258
26,2023-02-26,977
27,2023-02-27,1624
28,2023-02-28,591
